,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
85,London Has Fallen,2016,R,04 Mar 2016,99 min,"Action, Thriller",Babak Najafi,"Creighton Rothenberger, Katrin Benedikt, Christian Gudegast","Gerard Butler, Aaron Eckhart, Morgan Freeman","In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.","English, Italian, French, Japanese","United States, United Kingdom, Bulgaria",1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTY1ODY2MTgwM15BMl5BanBnXkFtZTgwOTY3Nzc3NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.9,"153,874",tt3300542,movie,14 Jun 2016,"$62,524,260",N/A,N/A,True,,
86,Dirty Grandpa,2016,R,22 Jan 2016,102 min,Comedy,Dan Mazer,John Phillips,"Robert De Niro, Zac Efron, Zoey Deutch","Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",English,"United States, United Kingdom",2 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,5.9,"120,016",tt1860213,movie,17 May 2016,"$35,593,113",N/A,N/A,True,,
87,"Hail, Caesar!",2016,PG-13,05 Feb 2016,106 min,"Comedy, Drama, Mystery","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Josh Brolin, George Clooney, Alden Ehrenreich",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,English,"United States, United Kingdom, Japan",Nominated for 1 Oscar. 14 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BOTI1M2FlMzItY2VjYS00Y2VkLWI5OTQtMzA0MWMyNmQzZmQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.3,"130,658",tt0475290,movie,07 Jun 2016,"$30,498,085",N/A,N/A,True,,
88,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
89,Trolls,2016,PG,04 Nov 2016,92 min,"Animation, Adventure, Comedy","Mike Mitchell, Walt Dohrn","Jonathan Aibel, Glenn Berger, Erica Rivinoja","Anna Kendrick, Justin Timberlake, Zooey Deschanel","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",English,United States,Nominated for 1 Oscar. 4 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxNDc3OTcxMV5BMl5BanBnXkFtZTgwODk2NjAzOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.5,"78,493",tt1679335,movie,07 Feb 2017,"$153,707,064",N/A,N/A,True,,
90,Allegiant,2016,PG-13,18 Mar 2016,120 min,"Action, Adventure, Mystery",Robert Schwentke,"Noah Oppenheim, Adam Cooper, Bill Collage","Shailene Woodley, Theo James, Jeff Daniels","After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",English,United States,3 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BNjk2OTc5YzQtMjAwMS00YWY4LTk1ZWItOTgyMmRkMGU4ZmY1XkEyXkFqcGdeQXVyMzQ1MzUwMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.7,"117,430",tt3410834,movie,12 Jul 2016,"$66,184,051",N/A,N/A,True,,
91,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
92,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
93,The Great Wall,2016,PG-13,17 Feb 2017,103 min,"Action, Adventure, Fantasy",Yimou Zhang,"Carlo Bernard, Doug Miro, Tony Gilroy","Matt Damon, Tian Jing, Willem Dafoe","In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.","English, Mandarin, Spanish","United States, China, Hong Kong, Australia, Canada",3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjA3MjAzOTQxNF5BMl5BanBnXkFtZTgwOTc5OTY1OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.9,"131,143",tt2034800,movie,23 May 2017,"$45,540,830",N/A,N/A,True,,
94,Mike and Dave Need Wedding Dates,2016,R,08 Jul 2016,98 min,"Comedy, Romance",Jake Szymanski,"Andrew Jay Cohen, Brendan O'Brien","Zac Efron, Adam Devine, Anna Kendrick","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.","English, Chinese, Japanese",United States,4 nominations,https://m.media-amazon.com/images/M/MV5BMjM4NDIxNzI5Nl5BMl5BanBnXkFtZTgwMTg4NTY5NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.0,"87,222",tt2823054,movie,27 Sep 2016,"$46,009,673",N/A,N/A,True,,
95,Bad Moms,2016,R,29 Jul 2016,100 min,Comedy,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Mila Kunis, Kathryn Hahn, Kristen Bell","When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",English,United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMjIwNzE5MTgwNl5BMl5BanBnXkFtZTgwNjM4OTA0OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.2,"121,197",tt4651520,movie,01 Nov 2016,"$113,257,297",N/A,N/A,True,,
96,Collateral Beauty,2016,PG-13,16 Dec 2016,97 min,"Drama, Romance",David Frankel,Allan Loeb,"Will Smith, Edward Norton, Kate Winslet","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and bea",English,United States,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTQ5ODE4MTY2NV5BMl5BanBnXkFtZTgwMzM2NzEzMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,6.8,"97,870",tt4682786,movie,14 Mar 2017,"$31,016,021",N/A,N/A,True,,
97,The Boy,2016,PG-13,22 Jan 2016,97 min,"Horror, Mystery, Thriller",William Brent Bell,Stacey Menear,"Lauren Cohan, Rupert Evans, James Russell","An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",English,"United States, Canada, China",6 nominations,https://m.media-amazon.com/images/M/MV5BMTc1MjcxNzcwMV5BMl5BanBnXkFtZTgwMTE0NTE2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.0,"87,307",tt3882082,movie,10 May 2016,"$35,819,556",N/A,N/A,True,,
98,Fences,2016,PG-13,25 Dec 2016,139 min,Drama,Denzel Washington,August Wilson,"Denzel Washington, Viola Davis, Stephen McKinley Henderson","A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",English,"United States, Canada",Won 1 Oscar. 58 wins & 121 nominations total,https://m.media-amazon.com/images/M/MV5BOTg0Nzc1NjA0MV5BMl5BanBnXkFtZTgwNTcyNDQ0MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.2,"104,693",tt2671706,movie,14 Mar 2017,"$57,682,904",N/A,N/A,True,,
99,Alice Through the Looking Glass,2016,PG,27 May 2016,113 min,"Adventure, Family, Fantasy",James Bobin,"Linda Woolverton, Lewis Carroll","Mia Wasikowska, Johnny Depp, Helena Bonham Carter",Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,English,United States,4 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BMTc2NjExMTIyN15BMl5BanBnXkFtZTgwMjg0OTIwODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,6.2,"102,517",tt2567026,movie,18 Oct 2016,"$77,041,381",N/A,N/A,True,,
100,The Brothers Grimsby,2016,R,11 Mar 2016,83 min,"Action, Adventure, Comedy",Louis Leterrier,"Sacha Baron Cohen, Phil Johnston, Peter Baynham","Sacha Baron Cohen, Mark Strong, Rebel Wilson",A new assignment forces a top spy to team up with his football hooligan brother.,"English, Ukrainian","United Kingdom, United States",3 nominations,https://m.media-amazon.com/images/M/MV5BMjE0NTE3MjMwNV5BMl5BanBnXkFtZTgwMDc5NjQxODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.2,"98,875",tt3381008,movie,21 Jun 2016,"$6,874,837",N/A,N/A,True,,
101,Ice Age: Collision Course,2016,PG,22 Jul 2016,94 min,"Animation, Adventure, Comedy","Michael Thurmeier, Galen T. Chu","Michael J. Wilson, Michael Berg, Yoni Brenner","Ray Romano, Denis Leary, John Leguizamo","When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BMzFjYWM5NzgtMGIwMi00MmE3LWE3NTgtNmIwMmRkNmFmYzJkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.7,"62,967",tt3416828,movie,11 Oct 2016,"$64,063,008",N/A,N/A,True,,
102,Patriots Day,2016,R,13 Jan 2017,133 min,"Action, Crime, Drama",Peter Berg,"Peter Berg, Matt Cook, Joshua Zetumer","Mark Wahlberg, Michelle Monaghan, J.K. Simmons","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.","English, Chinese, Arabic","Hong Kong, United States",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BODYxMDc0NTg2Nl5BMl5BanBnXkFtZTgwNjY0NDYzOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.4,"99,149",tt4572514,movie,28 Mar 2017,"$31,886,361",N/A,N/A,True,,
103,Keeping Up with the Joneses,2016,PG-13,21 Oct 2016,105 min,"Action, Comedy",Greg Mottola,Michael LeSieur,"Zach Galifianakis, Isla Fisher, Jon Hamm",A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,"English, Hebrew, Mandarin",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BNDU2OTU1NzE2Ml5BMl5BanBnXkFtZTgwMDQzMzgwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.9,"61,475",tt2387499,movie,17 Jan 2017,"$14,904,426",N/A,N/A,True,,
104,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
105,The Secret Life of Pets,2016,PG,08 Jul 2016,87 min,"Animation, Adventure, Comedy",Chris Renaud,"Cinco Paul, Ken Daurio, Brian Lynch","Louis C.K., Eric Stonestreet, Kevin Hart","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",English,"United States, Japan",4 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.5,"194,991",tt2709768,movie,06 Dec 2016,"$368,384,330",N/A,N/A,True,,
106,Popstar: Never Stop Never Stopping,2016,R,03 Jun 2016,87 min,"Comedy, Drama, Musical","Akiva Schaffer, Jorma Taccone","Andy Samberg, Akiva Schaffer, Jorma Taccone","Andy Samberg, Jorma Taccone, Akiva Schaffer","When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status.",English,"United States, China",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BMjMxMzk2ODI4N15BMl5BanBnXkFtZTgwNzgzNzQ5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.7,"59,251",tt3960412,movie,13 Sep 2016,"$9,639,125",N/A,N/A,True,,
107,Goldstone,2016,R,07 Jul 2016,110 min,"Crime, Thriller",Ivan Sen,Ivan Sen,"Aaron Pedersen, Alex Russell, Jacki Weaver","Indigenous detective Jay Swan arrives in the town of Goldstone to search for a missing person, and his simple duty becomes complicated when he uncovers a web of crime and corruption.","English, Mandarin",Australia,10 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BNTU2MDAwYWItZDc4Ny00N2ViLThlYWYtODBmMmQxNTE0MjVlXkEyXkFqcGdeQXVyMDkzMDE0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,6.5,"5,500",tt4911996,movie,11 Sep 2018,"$87,639",N/A,N/A,True,,
108,20th Century Women,2016,R,20 Jan 2017,119 min,"Comedy, Drama",Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig","The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",English,United States,Nominated for 1 Oscar. 13 wins & 73 nominations total,https://m.media-amazon.com/images/M/MV5BMTkwNDE4NzQwM15BMl5BanBnXkFtZTgwNzQ5Nzg0MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.3,"43,715",tt4385888,movie,28 Mar 2017,"$5,664,764",N/A,N/A,True,,
109,Assassin's Creed,2016,PG-13,21 Dec 2016,115 min,"Action, Adventure, Sci-Fi",Justin Kurzel,"Michael Lesslie, Adam Cooper, Bill Collage","Michael Fassbender, Marion Cotillard, Jeremy Irons","Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.","English, Spanish, Arabic","United States, France, United Kingdom, Hong Kong, Taiwan, Malta, Spain, Canada",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNzE1OTczNTc1OF5BMl5BanBnXkFtZTgwMzgyMDI3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.7,"194,737",tt2094766,movie,21 Mar 2017,"$54,647,948",N/A,N/A,True,,
110,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,03 Jun 2016,112 min,"Action, Adventure, Comedy",Dave Green,"Josh Appelbaum, André Nemec, Peter Laird","Megan Fox, Will Arnett, Tyler Perry","The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",English,"United States, Hong Kong, China",10 nominations,https://m.media-amazon.com/images/M/MV5BMmVkNjVjZTQtNTczYS00ODk5LWFkNjItYjNlMDc5ZjMyYTQwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.0,"90,145",tt3949660,movie,20 Sep 2016,"$82,051,601",N/A,N/A,True,,
111,White Girl,2016,Not Rated,01 Dec 2016,88 min,"Crime, Drama",Elizabeth Wood,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha","Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjMzMDY1NDcyNl5BMl5BanBnXkFtZTgwNTc0ODc4OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,5.7,"10,520",tt4129870,movie,18 Dec 2016,"$200,242",N/A,N/A,True,,
112,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
113,The Take,2016,R,18 Nov 2016,92 min,"Action, Crime, Drama",James Watkins,"Andrew Baldwin, James Watkins","Idris Elba, Richard Madden, Charlotte Le Bon",A young pickpocket and an unruly CIA agent team up on an anti-terrorist mission in France.,"English, French","United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMTAyNDc3MDMwMDNeQTJeQWpwZ15BbWU4MDkyMzc5MjAy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.3,"41,870",tt2368619,movie,07 Feb 2017,"$50,269",N/A,N/A,True,,
114,The Finest Hours,2016,PG-13,29 Jan 2016,117 min,"Action, Drama, History",Craig Gillespie,"Scott Silver, Paul Tamasy, Eric Johnson","Chris Pine, Casey Affleck, Ben Foster",The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BNTY1MDU1NzYzN15BMl5BanBnXkFtZTgwOTA0MDQyNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.8,"65,191",tt2025690,movie,24 May 2016,"$27,569,558",N/A,N/A,True,,
115,Greater,2016,PG,26 Aug 2016,130 min,"Biography, Family, Sport",David L. Hunt,"Brian Reindl, David L. Hunt","Neal McDonough, Leslie Easterbrook, Christopher Severio","The story of Brandon Burlsworth, possibly the greatest walk-on in the history of college football.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODc2NjQ4MDIwN15BMl5BanBnXkFtZTgwMTQ5MzgzOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,7.4,"5,722",tt2950418,movie,20 Dec 2016,"$2,000,620",N/A,N/A,True,,
116,The Love Witch,2016,Unrated,10 Mar 2017,120 min,"Comedy, Horror, Romance",Anna Biller,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell","A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",English,United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMjA5NDEyMjQwNV5BMl5BanBnXkFtZTgwNDQ1MjMwMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,6.2,"15,292",tt3908142,movie,03 Feb 2017,"$228,894",N/A,N/A,True,,
117,The Belko Experiment,2016,R,17 Mar 2017,89 min,"Horror, Thriller",Greg McLean,James Gunn,"John Gallagher Jr., Tony Goldwyn, Adria Arjona","In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogotá, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODQyMDkyOTE2MF5BMl5BanBnXkFtZTgwNDQ1NTQwMTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.1,"48,767",tt1082807,movie,27 Jun 2017,"$10,166,820",N/A,N/A,True,,
118,The BFG,2016,PG,01 Jul 2016,117 min,"Adventure, Family, Fantasy",Steven Spielberg,"Melissa Mathison, Roald Dahl","Mark Rylance, Ruby Barnhill, Penelope Wilton","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.","English, Hindi","United States, India, United Kingdom",Nominated for 1 BAFTA Film Award4 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.4,"83,454",tt3691740,movie,29 Nov 2016,"$55,483,770",N/A,N/A,True,,
119,Zoolander 2,2016,PG-13,12 Feb 2016,101 min,"Action, Adventure, Comedy",Ben Stiller,"Justin Theroux, Ben Stiller, Nicholas Stoller","Ben Stiller, Owen Wilson, Penélope Cruz","Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy.","English, Italian, Spanish","United States, Italy",7 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BMjI2MjQxNTQzOV5BMl5BanBnXkFtZTgwMDE2MTY2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,4.7,"68,011",tt1608290,movie,24 May 2016,"$28,848,693",N/A,N/A,True,,
120,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
121,The Angry Birds Movie,2016,PG,20 May 2016,97 min,"Animation, Action, Adventure","Clay Kaytis, Fergal Reilly","Jon Vitti, Mikael Hed, Mikko Pöllä","Jason Sudeikis, Josh Gad, Danny McBride","When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.",English,"Finland, United States",2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTY3MjU0NDA0OF5BMl5BanBnXkFtZTgwNTc0MTU3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.3,"87,941",tt1985949,movie,16 Aug 2016,"$107,509,366",N/A,N/A,True,,
122,Live by Night,2016,R,13 Jan 2017,129 min,"Action, Thriller",Ben Affleck,"Ben Affleck, Dennis Lehane","Ben Affleck, Elle Fanning, Brendan Gleeson","A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","English, Spanish",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMjc3MDIyMjgzNl5BMl5BanBnXkFtZTgwMzUxOTg3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.4,"55,978",tt2361317,movie,21 Mar 2017,"$10,378,555",N/A,N/A,True,,
123,Nerve,2016,PG-13,27 Jul 2016,96 min,"Action, Adventure, Crime","Henry Joost, Ariel Schulman","Jessica Sharzer, Jeanne Ryan","Emma Roberts, Dave Franco, Emily Meade","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMTUzOTg1OTM4NV5BMl5BanBnXkFtZTgwMTg2Mjg0OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.5,"124,557",tt3531824,movie,25 Oct 2016,"$38,583,626",N/A,N/A,True,,
124,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
125,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
126,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
127,Shin Godzilla,2016,Not Rated,29 Jul 2016,120 min,"Action, Drama, Horror","Hideaki Anno, Shinji Higuchi","Hideaki Anno, Sean Whitley","Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara",Japan is plunged into chaos upon the appearance of a giant monster.,"Japanese, Japanese Sign , English, German",Japan,13 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BODQ4ZmIzNWMtY2NiYi00MmM1LWFjMGQtMDE0Nzc1NzhjNjEyXkEyXkFqcGdeQXVyNDUwNzM4MzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.8,"26,471",tt4262980,movie,01 Aug 2017,"$1,918,403",N/A,N/A,True,,
