,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
92,Little Fockers,2010,PG-13,22 Dec 2010,98 min,"Comedy, Romance",Paul Weitz,"John Hamburg, Larry Stuckey, Greg Glienna","Ben Stiller, Teri Polo, Robert De Niro","Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?","English, Ukrainian",United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTkwNjE3NjQwOV5BMl5BanBnXkFtZTcwNzAyNTMwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,5.5,"110,693",tt0970866,movie,05 Apr 2011,"$148,438,600",N/A,N/A,True,,
93,The Runaways,2010,R,08 Apr 2010,106 min,"Biography, Drama, Music",Floria Sigismondi,"Floria Sigismondi, Cherie Currie","Kristen Stewart, Dakota Fanning, Michael Shannon",A coming-of-age biographical film about the 1970s teenage all-girl rock band The Runaways. The relationship between band members Cherie Currie and Joan Jett is also explored.,English,United States,6 nominations,https://m.media-amazon.com/images/M/MV5BMTI3Nzc2ODI4NV5BMl5BanBnXkFtZTcwMzkxNDMyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.5,"48,076",tt1017451,movie,20 Jul 2010,"$3,573,673",N/A,N/A,True,,
94,The Sorcerer's Apprentice,2010,PG,14 Jul 2010,109 min,"Action, Adventure, Family",Jon Turteltaub,"Lawrence Konner, Mark Rosenthal, Matt Lopez","Nicolas Cage, Jay Baruchel, Alfred Molina","Balthazar Blake, an apprentice of the legendary magician Merlin, must train his old teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.","English, Cantonese, Ukrainian, Hindi",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BN2EwMzg3YWUtMTQyYS00ZDY3LTgzNTctOWI5NzY3MmZkOTk2XkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.1,"159,069",tt0963966,movie,30 Nov 2010,"$63,150,991",N/A,N/A,True,,
95,MacGruber,2010,R,21 May 2010,90 min,"Action, Comedy",Jorma Taccone,"Will Forte, John Solomon, Jorma Taccone","Will Forte, Kristen Wiig, Val Kilmer","Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.","English, Russian",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjE4MDY1ODY5Nl5BMl5BanBnXkFtZTcwNjgzMTEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.6,"44,441",tt1470023,movie,07 Sep 2010,"$8,525,600",N/A,N/A,True,,
96,Frozen,2013,PG,27 Nov 2013,102 min,"Animation, Adventure, Comedy","Chris Buck, Jennifer Lee","Jennifer Lee, Hans Christian Andersen, Chris Buck","Kristen Bell, Idina Menzel, Jonathan Groff","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condi","English, Norwegian",United States,Won 2 Oscars. 81 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.4,"602,463",tt2294629,movie,18 Mar 2014,"$400,953,009",N/A,N/A,True,,
97,Beyond the Black Rainbow,2010,R,22 Apr 2011,110 min,"Horror, Sci-Fi, Thriller",Panos Cosmatos,Panos Cosmatos,"Eva Bourne, Michael J Rogers, Scott Hylands","Despite being under heavy sedation, a young woman tries to make her way out of the Arboria Institute, a secluded, quasifuturistic commune.",English,Canada,5 wins,https://m.media-amazon.com/images/M/MV5BMTc1MjQyODcxM15BMl5BanBnXkFtZTcwNDU1MjE0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.0,"14,530",tt1534085,movie,28 Aug 2012,"$56,491",N/A,N/A,True,,
98,The Ghost Writer,2010,PG-13,19 Mar 2010,128 min,"Crime, Drama, Mystery",Roman Polanski,"Robert Harris, Roman Polanski","Ewan McGregor, Pierce Brosnan, Olivia Williams","A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.",English,"France, Germany, United Kingdom",33 wins & 56 nominations,https://m.media-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.2,"160,780",tt1139328,movie,03 Aug 2010,"$15,541,549",N/A,N/A,True,,
99,Skyline,2010,PG-13,12 Nov 2010,92 min,"Action, Sci-Fi, Thriller","Colin Strause, Greg Strause","Joshua Cordes, Liam O'Donnell","Eric Balfour, Donald Faison, Scottie Thompson","Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjAwNDkwOTc5M15BMl5BanBnXkFtZTcwMTE2MTMwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26,4.4,"89,188",tt1564585,movie,15 Mar 2011,"$21,393,620",N/A,N/A,True,,
100,Uncle Boonmee Who Can Recall His Past Lives,2010,Not Rated,01 Sep 2010,114 min,"Drama, Fantasy",Apichatpong Weerasethakul,"Phra Sripariyattiweti, Apichatpong Weerasethakul","Thanapat Saisaymar, Jenjira Pongpas, Sakda Kaewbuadee","Dying of kidney disease, a man spends his last, somber days with family, including the ghost of his wife and a forest spirit who used to be his son, on a rural northern Thailand farm.","Thai, French, Lao","Thailand, United Kingdom, France, Germany, Spain, Netherlands",11 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BMTc2MjAxMzI3NV5BMl5BanBnXkFtZTcwMDE3MDU0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,6.7,"15,254",tt1588895,movie,12 Jul 2011,"$184,292",N/A,N/A,True,,
101,Edge of Darkness,2010,R,29 Jan 2010,117 min,"Action, Crime, Drama",Martin Campbell,"William Monahan, Andrew Bovell, Troy Kennedy-Martin","Mel Gibson, Ray Winstone, Danny Huston","As homicide detective Thomas Craven investigates the murder of his activist daughter, he uncovers a corporate cover-up and government conspiracy that attracts an agent tasked with cleaning up the evidence.","English, Latin, French","United Kingdom, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BMTczMDk5MTg5Ml5BMl5BanBnXkFtZTcwOTYyMjE5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.6,"93,181",tt1226273,movie,11 May 2010,"$43,313,890",N/A,N/A,True,,
102,The Man from Nowhere,2010,R,05 Aug 2010,119 min,"Action, Crime, Drama",Jeong-beom Lee,Jeong-beom Lee,"Won Bin, Kim Sae-ron, Kim Tae-hoon",A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,"Korean, English",South Korea,18 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BMTgzMTkxNjAxNV5BMl5BanBnXkFtZTgwMDU3MDE0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.8,"67,437",tt1527788,movie,15 Mar 2011,"$528,175",N/A,N/A,True,,
103,Ramona and Beezus,2010,G,23 Jul 2010,103 min,"Comedy, Drama, Family",Elizabeth Allen Rosenbaum,"Laurie Craig, Nick Pustay, Beverly Cleary","Joey King, Selena Gomez, Bridget Moynahan","An adventurous young girl uses her imagination to escape her reality, that is quickly spinning out of reach.",English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTk4MTU0MTczM15BMl5BanBnXkFtZTcwNjYzOTI0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.5,"18,426",tt0493949,movie,09 Nov 2010,"$26,167,002",N/A,N/A,True,,
104,Trollhunter,2010,PG-13,29 Oct 2010,103 min,"Drama, Fantasy, Horror",André Øvredal,André Øvredal,"Otto Jespersen, Robert Stoltenberg, Knut Nærum","A group of students investigates a series of mysterious bear killings, but learns that there are much more dangerous things going on. They start to follow a mysterious hunter, learning that he is actually a troll hunter.","Norwegian, English",Norway,12 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTkyMTgxNzIwOF5BMl5BanBnXkFtZTcwNjYyNjM5NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.0,"72,433",tt1740707,movie,23 Aug 2011,"$253,444",N/A,N/A,True,,
105,Valentine's Day,2010,PG-13,12 Feb 2010,125 min,"Comedy, Romance",Garry Marshall,"Katherine Fugate, Abby Kohn, Marc Silverstein","Julia Roberts, Jamie Foxx, Anne Hathaway",Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,"English, Spanish, Russian, Italian",United States,7 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.7,"117,725",tt0817230,movie,18 May 2010,"$110,485,654",N/A,N/A,True,,
106,Letters to Juliet,2010,PG,14 May 2010,105 min,"Adventure, Comedy, Drama",Gary Winick,"Jose Rivera, Tim Sullivan","Amanda Seyfried, Gael García Bernal, Vanessa Redgrave","Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".","English, Italian, Spanish",United States,6 nominations,https://m.media-amazon.com/images/M/MV5BMjg0OTU0NDYwNF5BMl5BanBnXkFtZTcwNzUwNTMyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.5,"97,627",tt0892318,movie,14 Sep 2010,"$53,032,453",N/A,N/A,True,,
107,Dear John,2010,PG-13,05 Feb 2010,108 min,"Drama, Mystery, Romance",Lasse Hallström,"Jamie Linden, Nicholas Sparks","Channing Tatum, Amanda Seyfried, Richard Jenkins",A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,English,United States,4 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTk1NDEzMTU5NV5BMl5BanBnXkFtZTcwNTI3MTk5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.3,"145,382",tt0989757,movie,25 May 2010,"$80,014,842",N/A,N/A,True,,
108,Get Him to the Greek,2010,R,04 Jun 2010,109 min,"Comedy, Music",Nicholas Stoller,"Nicholas Stoller, Jason Segel","Jonah Hill, Russell Brand, Elisabeth Moss",A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,English,United States,14 nominations,https://m.media-amazon.com/images/M/MV5BMjIyMzQ0MjExNV5BMl5BanBnXkFtZTcwMzkyMzgxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.3,"175,345",tt1226229,movie,28 Sep 2010,"$60,974,475",N/A,N/A,True,,
109,Dinner for Schmucks,2010,PG-13,30 Jul 2010,114 min,Comedy,Jay Roach,"David Guion, Michael Handelman, Francis Veber","Steve Carell, Paul Rudd, Stephanie Szostak","After he finds out that his work superiors host a dinner celebrating the idiocy of their special guests, a rising executive questions the merits of his invitation just as he befriends a man who would be the perfect guest.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BOTk5MTYzNTIyMl5BMl5BanBnXkFtZTcwOTM3MTQ2Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,5.9,"104,912",tt0427152,movie,04 Jan 2011,"$73,026,337",N/A,N/A,True,,
110,How Do You Know,2010,PG-13,17 Dec 2010,121 min,"Comedy, Drama, Romance",James L. Brooks,James L. Brooks,"Reese Witherspoon, Paul Rudd, Owen Wilson","After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing bea",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BOTQyMzU4OTk1N15BMl5BanBnXkFtZTcwNTE5MTUxNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.4,"49,013",tt1341188,movie,22 Mar 2011,"$30,212,620",N/A,N/A,True,,
111,The Secret World of Arrietty,2010,G,17 Feb 2012,94 min,"Animation, Adventure, Drama",Hiromasa Yonebayashi,"Mary Norton, Hayao Miyazaki, Keiko Niwa","Amy Poehler, Will Arnett, Mirai Shida","The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",Japanese,Japan,12 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BZDY3ZGI0ZDAtMThlNy00MzAxLTg4YjAtNjkwYTkxNmQ4MjdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.6,"88,422",tt1568921,movie,22 May 2012,"$19,587,032",N/A,N/A,True,,
112,Gulliver's Travels,2010,PG,25 Dec 2010,85 min,"Adventure, Comedy, Family",Rob Letterman,"Joe Stillman, Nicholas Stoller, Jonathan Swift","Jack Black, Emily Blunt, Jason Segel","Travel writer Lemuel Gulliver takes an assignment in Bermuda but ends up on the island of Lilliput, where he towers over its tiny citizens.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMTU0NTUwOTM3Nl5BMl5BanBnXkFtZTcwMDA3NjIwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,4.9,"68,464",tt1320261,movie,19 Apr 2011,"$42,779,261",N/A,N/A,True,,
113,Submarine,2010,R,18 Mar 2011,97 min,"Comedy, Drama, Romance",Richard Ayoade,"Richard Ayoade, Joe Dunthorne","Craig Roberts, Sally Hawkins, Paddy Considine","15-year-old Oliver Tate has two objectives: To lose his virginity before his next birthday, and to extinguish the flame between his mother and an ex-lover who has resurfaced in her life.",English,"United Kingdom, United States",Nominated for 1 BAFTA Film Award6 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ5ODMxNTIyNV5BMl5BanBnXkFtZTcwNjQ1ODgyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.3,"89,074",tt1440292,movie,04 Oct 2011,"$467,602",N/A,N/A,True,,
114,Tooth Fairy,2010,PG,22 Jan 2010,101 min,"Comedy, Family, Fantasy",Michael Lembeck,"Lowell Ganz, Babaloo Mandel, Joshua Sternin","Dwayne Johnson, Ashley Judd, Julie Andrews",A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.,English,"United States, Canada",1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTQ4NjQzMjQxNF5BMl5BanBnXkFtZTcwNTEzMDY4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.0,"45,007",tt0808510,movie,04 May 2010,"$60,022,256",N/A,N/A,True,,
115,The Switch,2010,PG-13,20 Aug 2010,101 min,"Comedy, Drama, Romance","Josh Gordon, Will Speck","Jeffrey Eugenides, Allan Loeb","Jennifer Aniston, Jason Bateman, Patrick Wilson","Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BODQ5ODc0MjU1N15BMl5BanBnXkFtZTcwMTc3NzcyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.1,"102,706",tt0889573,movie,21 Dec 2010,"$27,779,426",N/A,N/A,True,,
116,Step Up,2006,PG-13,11 Aug 2006,104 min,"Crime, Drama, Music",Anne Fletcher,"Duane Adler, Melissa Rosenberg","Channing Tatum, Jenna Dewan, Damaine Radcliff","Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BODEzMzVhODgtOTc1NS00MmY3LWI3OGUtN2ZjNDEwM2ExZjJlXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.5,"115,738",tt0462590,movie,19 Dec 2006,"$65,328,121",N/A,N/A,True,,
117,The Way,2010,PG-13,19 Nov 2010,123 min,"Comedy, Drama",Emilio Estevez,"Emilio Estevez, Jack Hitt","Martin Sheen, Emilio Estevez, Deborah Kara Unger","A father heads overseas to recover the body of his estranged son who died while traveling the ""El camino de Santiago,"" and decides to take the pilgrimage himself.","English, Spanish, French, Catalan, Italian","Spain, United States",1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTU4MzM4NzkyOF5BMl5BanBnXkFtZTcwMjQwNjMzNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.4,"32,105",tt1441912,movie,28 Apr 2009,"$4,430,765",N/A,N/A,True,,
118,Elektra Luxx,2010,R,14 Mar 2010,100 min,"Comedy, Drama",Sebastian Gutierrez,Sebastian Gutierrez,"Joseph Gordon-Levitt, Carla Gugino, Ermahn Ospina",Life for porn actress Elektra Luxx gets turned upside down when she finds out she's pregnant.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTM0MDU1MjkyMF5BMl5BanBnXkFtZTcwNDQ5MDA1NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.1,"7,230",tt1340773,movie,21 Jun 2011,"$11,514",N/A,N/A,True,,
119,Black Death,2010,R,11 Jun 2010,102 min,"Action, Drama, History",Christopher Smith,"Dario Poloni, Christopher Smith","Eddie Redmayne, Sean Bean, Carice van Houten","Set during the time of the first outbreak of bubonic plague in England, a young monk is given the task of learning the truth about reports of people being brought back to life in a small village.","English, Latin","Germany, United Kingdom",3 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTkxNjEwNjY3NV5BMl5BanBnXkFtZTcwMTY1NTUyNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.4,"47,184",tt1181791,movie,10 May 2011,"$22,554",N/A,N/A,True,,
120,Certified Copy,2010,Not Rated,25 Mar 2011,106 min,"Drama, Romance",Abbas Kiarostami,"Abbas Kiarostami, Caroline Eliacheff","Juliette Binoche, William Shimell, Jean-Claude Carrière","In Tuscany to promote his latest book, a middle-aged British writer meets a French woman who leads him to the village of Lucignano. While there, a chance question reveals something deeper.","French, English, Italian","France, Italy, Belgium, Iran",10 wins & 28 nominations,https://m.media-amazon.com/images/M/MV5BYWE3OWVlYzAtMzBhNS00ZWY4LWJkYzgtNGZhY2Q2MGVlYzBiXkEyXkFqcGdeQXVyODU4MzMxNDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.3,"23,685",tt1020773,movie,06 Sep 2011,"$1,373,975",N/A,N/A,True,,
121,Wall Street: Money Never Sleeps,2010,PG-13,24 Sep 2010,133 min,Drama,Oliver Stone,"Allan Loeb, Stephen Schiff, Stanley Weiser","Shia LaBeouf, Michael Douglas, Carey Mulligan","Now out of prison but still disgraced by his peers, Gordon Gekko works his future son-in-law, an idealistic stock broker, when he sees an opportunity to take down a Wall Street enemy and rebuild his empire.",English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTU5MDEzMzYwMF5BMl5BanBnXkFtZTcwNTcwMjUxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.2,"101,262",tt1027718,movie,21 Dec 2010,"$52,474,616",N/A,N/A,True,,
122,The Last Song,2010,PG,31 Mar 2010,107 min,"Drama, Music, Romance",Julie Anne Robinson,"Nicholas Sparks, Jeff Van Wie","Miley Cyrus, Liam Hemsworth, Greg Kinnear","A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",English,United States,4 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BMjE2MTcyMjMyNF5BMl5BanBnXkFtZTgwODg2ODU1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,6.0,"85,674",tt1294226,movie,17 Aug 2010,"$62,950,384",N/A,N/A,True,,
123,Cop Out,2010,R,26 Feb 2010,107 min,"Action, Comedy, Crime",Kevin Smith,"Robb Cullen, Mark Cullen","Bruce Willis, Tracy Morgan, Juan Carlos Hernández","Jimmy's rare baseball card is robbed. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his cop partner Paul to track down the robber, a memorabilia-obsessed gangster.","English, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTk0NzcxMjYwNF5BMl5BanBnXkFtZTcwMTI4MTIxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.6,"87,191",tt1385867,movie,20 Jul 2010,"$44,875,481",N/A,N/A,True,,
124,Rubber,2010,R,10 Nov 2010,82 min,"Comedy, Fantasy, Horror",Quentin Dupieux,Quentin Dupieux,"Stephen Spinella, Roxane Mesquida, Wings Hauser","A homicidal car tire, discovering it has destructive psionic power, sets its sights on a desert town once a mysterious woman becomes its obsession.",English,France,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZTY2NTY4MzctMWNkYy00NWM4LTliOWQtMWExZDU1ZWQxNTQxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,5.8,"36,140",tt1612774,movie,07 Jun 2011,"$100,370",N/A,N/A,True,,
125,Biutiful,2010,R,04 Feb 2011,148 min,"Drama, Romance",Alejandro G. Iñárritu,"Alejandro G. Iñárritu, Armando Bo, Nicolás Giacobone","Javier Bardem, Maricel Álvarez, Hanaa Bouchaib",A man dying of cancer tries his best to leave the world on his own terms.,"Spanish, Chinese, Wolof","Mexico, Spain",Nominated for 2 Oscars. 21 wins & 65 nominations total,https://m.media-amazon.com/images/M/MV5BMzI4OTQ0MDQyNl5BMl5BanBnXkFtZTcwODY5MjQwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.5,"89,282",tt1164999,movie,27 Nov 2001,"$5,101,237",N/A,N/A,True,,
126,You Again,2010,PG,24 Sep 2010,105 min,"Comedy, Romance",Andy Fickman,Moe Jelline,"Kristen Bell, Odette Annable, Sigourney Weaver","When a young woman realizes her brother is about to marry the girl who bullied her in high school, she sets out to expose the fiancée's true colors.","English, French, German, Spanish, Hawaiian, Japanese, Italian, Hebrew",United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTM5MzkyMDY0MV5BMl5BanBnXkFtZTcwNDkxNDc1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.8,"50,801",tt1414382,movie,08 Feb 2011,"$25,702,053",N/A,N/A,True,,
